Hours,Process_Name,Pss(k),Pss Difference(k),json Name
2,android.process.acore,13065,1728,meminfo1
2,com.android.deskclock,10636,1392,meminfo14
2,com.stv.stvpush,10190,1062,meminfo70
2,com.letv.bugpostbox,7887,1563,meminfo58
2,com.stv.android.videochat,22334,735,meminfo69
2,com.baidu.BaiduMap:MapCoreService,15595,830,meminfo34
2,com.sina.weibo:remote,14645,742,meminfo68
2,com.sina.weibo,14215,744,meminfo67
2,com.letv.android.phonecontrol,13491,911,meminfo50
2,system:ui,11422,180,meminfo128
2,com.android.nfc,11369,636,meminfo24
2,com.android.server.telecom,10858,751,meminfo27
2,/system/bin/logd,10223,331,meminfo99
2,/system/bin/rild,9685,703,meminfo114
2,com.quicinc.cne.CNEService,8142,671,meminfo66
2,com.baidu.map.location,8101,961,meminfo36
2,com.dolby,8083,699,meminfo37
2,com.android.dialer,8068,111,meminfo15
2,com.letv.android.ota,7980,211,meminfo49
2,com.letv.android.freeflow,7665,816,meminfo46
2,com.letv.android.client,7314,236,meminfo42
2,com.letv.android.cloudservice,7171,220,meminfo43
2,com.qualcomm.qcrilmsgtunnel,7088,560,meminfo63
2,com.letv.bsp.qccrashhandler,6739,674,meminfo57
2,com.android.testing.dummyime,6690,230,meminfo31
2,/system/vendor/bin/slim_ap_daemon,6281,616,meminfo130
2,com.qti.service.colorservice,6261,665,meminfo62
2,com.android.exchange,6196,304,meminfo17
2,com.letv.android.accountinfo,6164,390,meminfo40
2,org.simalliance.openmobileapi.service:remote,6158,110,meminfo73
2,com.android.smspush,6085,605,meminfo29
2,com.baidu.input_letv,5970,165,meminfo35
2,com.android.providers.calendar,5711,276,meminfo26
2,com.letv.android.usagestats,5609,467,meminfo54
2,com.letv.android.bugreporter,4973,187,meminfo41
2,com.qualcomm.telephony,4859,136,meminfo64
2,com.android.cellbroadcastreceiver,4575,393,meminfo11
2,com.qti.diagservices,4418,100,meminfo61
2,com.letv.android.LetvShareProvider,4385,250,meminfo47
2,com.android.musicfx,4385,150,meminfo23
2,/system/bin/sensors.qcom,3624,248,meminfo117
2,/system/bin/mm-pp-daemon,3063,769,meminfo102
2,/system/bin/drmserver,1613,104,meminfo88
2,/system/bin/lowi-server,1571,182,meminfo100
2,/system/bin/sdcard,1105,810,meminfo116
2,/system/bin/qseecomd,684,138,meminfo112
2,/system/bin/sh,588,147,meminfo119
2,/system/bin/netmgrd,4476,76,meminfo106
2,logcat,423,125,meminfo72
2,/system/bin/netd,1841,89,meminfo105
2,/system/bin/audiod,1524,43,meminfo81
2,/system/bin/xtwifi-inet-agent,1259,29,meminfo126
2,/system/bin/vold,1153,19,meminfo124
2,/sbin/adbd,913,88,meminfo75
2,/system/bin/keystore,862,18,meminfo95
2,/system/bin/perfd,665,28,meminfo107
2,/system/bin/dts_eagle_service,628,12,meminfo89
2,/system/bin/lmkd,478,12,meminfo96
2,/system/bin/wpa_supplicant,3997,2,meminfo125
2,/system/bin/debuggerd,354,19,meminfo85
2,/system/bin/thermal-engine,2726,1,meminfo122
2,/system/bin/ATFWD-daemon,2499,5,meminfo80
2,/system/bin/ipacm,1478,6,meminfo93
2,/system/bin/pm-service,1154,3,meminfo109
2,/system/vendor/bin/qti,1043,3,meminfo129
2,/system/bin/time_daemon,1002,4,meminfo123
2,/system/bin/cnd,1001,6,meminfo82
2,/init,994,0,meminfo71
2,/system/bin/qmuxd,948,2,meminfo111
2,/system/bin/qcom-system-daemon,886,6,meminfo110
2,/system/bin/imsdatadaemon,882,4,meminfo90
2,/system/bin/cnss-daemon,874,1,meminfo83
2,/system/bin/cnss_diag,779,0,meminfo84
2,/sbin/ueventd,664,0,meminfo77
2,/system/bin/pm-proxy,627,1,meminfo108
2,/system/bin/imsqmidaemon,616,1,meminfo91
2,/system/bin/rmt_storage,561,1,meminfo115
2,/system/bin/rfs_access,533,1,meminfo113
2,/system/bin/adsprpcd,488,0,meminfo79
2,/system/bin/ipacm-diag,484,2,meminfo94
2,/system/bin/msm_irqbalance,472,2,meminfo104
2,/sbin/healthd,440,0,meminfo76
2,/system/bin/dhcpcd,431,0,meminfo87
2,/system/bin/loc_launcher,425,1,meminfo98
2,/system/bin/debuggerd64,396,3,meminfo86
2,/system/bin/location-mq,392,0,meminfo97
2,/system/bin/servicemanager,389,2,meminfo118
2,/system/bin/installd,363,1,meminfo92
2,/system/bin/sw_coredump,276,0,meminfo121
