Time:10,MemFree,Buffers,Cached,Active,Inactive,Active(anon),Inactive(anon),Active(file),Inactive(file),Dirty,Writeback,Mapped,Slab
3104,98604,63764,1544424,1408032,1141124,943580,47540,464452,1093584,0,0,388844,333224
3114,84520,63856,1544448,1421904,1141220,957432,47540,464472,1093680,0,0,388828,333424
3124,95952,63864,1544472,1410332,1141220,945828,47540,464504,1093680,100,0,388864,333520
3134,98536,63872,1544480,1407708,1141204,943172,47540,464536,1093664,36,0,388852,333560
3144,97792,63884,1544488,1408392,1141232,943868,47540,464524,1093692,24,0,388868,333528
3154,80056,63928,1544512,1413544,1141268,948988,47540,464556,1093728,84,0,388892,333376
3164,81128,63944,1544520,1412468,1141292,947908,47540,464560,1093752,24,0,388924,333432
3174,81020,63952,1544524,1412424,1141292,947852,47540,464572,1093752,8,0,388920,333528
3184,93488,63956,1545472,1399912,1142212,935316,47540,464596,1094672,480,0,387412,333616
3194,80552,63976,1544548,1412504,1141296,947888,47540,464616,1093756,12,0,388580,333760
3204,82660,64004,1544564,1410076,1141316,945444,47540,464632,1093776,16,0,388600,333680
3214,94472,64056,1544552,1410064,1141356,945424,47540,464640,1093816,40,0,388712,333672
3224,80556,64160,1544636,1424596,1141476,959892,47540,464704,1093936,204,0,389724,333720
3234,96312,64180,1544628,1408456,1141484,943744,47540,464712,1093944,112,0,388664,333840
3244,97364,64196,1544644,1407324,1141500,942596,47540,464728,1093960,20,0,388688,333816
3254,90452,64228,1544652,1414208,1141532,949472,47540,464736,1093992,68,0,388644,334024
3264,80960,64308,1544684,1423336,1141600,958556,47540,464780,1094060,144,4,389756,333904
3274,94416,64336,1544692,1411400,1141628,946612,47540,464788,1094088,8,0,388704,333984
3284,87152,64496,1544708,1413620,1141756,948784,47540,464836,1094216,100,0,388488,334440
3309,105324,65624,1544880,1410872,1140652,943632,47540,467240,1093112,292,0,385288,333864
3318,110652,65716,1544936,1405976,1140780,938716,47540,467260,1093240,12,0,387336,333760
3328,112948,65732,1544948,1402960,1140780,935672,47540,467288,1093240,68,0,388084,333768
3338,85704,65888,1544532,1419544,1139792,951532,47540,468012,1092252,100,0,387472,334096
3348,88000,65908,1544792,1419768,1139852,951536,47544,468232,1092308,108,0,387656,334072
3358,76956,66032,1545236,1431208,1140236,962792,47540,468416,1092696,240,0,384840,334144
3368,86112,66096,1545272,1420328,1140332,951908,47540,468420,1092792,124,0,385080,334128
3378,112084,66224,1545296,1399768,1139600,930464,47540,469304,1092060,20,0,387176,334680
3389,96580,66480,1545304,1414820,1139788,945440,47540,469380,1092248,60,0,387336,334808
3403,103868,67112,1545240,1410068,1140132,940464,47540,469604,1092592,104,0,379800,334680
