Loop:10,Time,PID,%CPU,Command,Thread/avgs
144,3462,251,12.2,/system/bin/surfaceflinger,
144,3462,22449,8.1,com.mediatek.providers.drm,k.providers.drm
144,3462,22471,8.1,com.android.gallery3d,droid.gallery3d
144,3462,21250,4,com.android.contacts,ndroid.contacts
144,3462,21296,4,com.mediatek.ppl,om.mediatek.ppl
144,3462,7295,4,/sbin/adbd,--root_seclabel=u:r:su:s0,
144,3462,32129,4,[kworker/u17:0],
146,3482,834,23.7,system_server,
146,3482,2681,2.1,com.android.settings,ndroid.settings
146,3482,2976,2.1,com.android.launcher3,droid.launcher3
147,3492,21296,14.2,com.mediatek.ppl,om.mediatek.ppl
147,3492,22471,7.1,com.android.gallery3d,droid.gallery3d
151,3532,834,0.5,system_server,
151,3532,10674,0.5,uiautomator,
151,3532,251,0.5,/system/bin/surfaceflinger,
151,3532,13286,0.5,[kworker/0:3],
152,3542,834,13.3,system_server,
153,3552,1307,52.1,procrank,
153,3552,834,4.3,system_server,
153,3552,93,4.3,[hps_main],
154,3562,15409,12.4,com.android.browser,android.browser
154,3562,834,4.1,system_server,
154,3562,1878,4.1,com.android.systemui,ndroid.systemui
154,3562,3348,4.1,uiautomator,
154,3562,7295,4.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
155,3572,2976,12.4,com.android.launcher3,droid.launcher3
155,3572,251,4.1,/system/bin/surfaceflinger,
155,3572,7158,4.1,[kworker/u16:7],
156,3582,23248,13.3,com.android.deskclock,droid.deskclock
156,3582,21250,6.6,com.android.contacts,ndroid.contacts
156,3582,21296,3.3,com.mediatek.ppl,om.mediatek.ppl
156,3582,22449,3.3,com.mediatek.providers.drm,k.providers.drm
156,3582,22471,3.3,com.android.gallery3d,droid.gallery3d
156,3582,251,3.3,/system/bin/surfaceflinger,
157,3592,2976,21.3,com.android.launcher3,droid.launcher3
157,3592,3017,12.8,com.letv.app.appstore,tv.app.appstore
157,3592,3119,8.5,com.letv.android.freeflow,ndroid.freeflow
157,3592,3083,8.5,com.letv.agnes,
157,3592,4674,8.5,com.android.launcher3:cde,d.launcher3:cde
157,3592,4651,4.2,com.letv.android.theme,v.android.theme
157,3592,21224,4.2,[kworker/u16:1],
159,3612,7295,7.6,/sbin/adbd,--root_seclabel=u:r:su:s0,
161,3632,2681,3.1,com.android.settings,ndroid.settings
161,3632,251,2,/system/bin/surfaceflinger,
161,3632,834,1,system_server,
161,3632,22449,1,com.mediatek.providers.drm,k.providers.drm
161,3632,22471,1,com.android.gallery3d,droid.gallery3d
161,3632,19486,1,[kworker/u16:0],
165,3672,834,9.3,system_server,
165,3672,3052,9.3,com.android.mms,
165,3672,7295,3.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
165,3672,2634,2,com.android.phone,m.android.phone
165,3672,3345,2,logcat,-v time,
165,3672,4286,1,android.process.acore,d.process.acore
165,3672,21250,1,com.android.contacts,ndroid.contacts
165,3672,267,1,/system/bin/mediaserver,
165,3672,251,1,/system/bin/surfaceflinger,
167,3692,7295,6.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
167,3692,129,6.1,[disp_idlemgr],
168,3703,2976,12,com.android.launcher3,droid.launcher3
168,3703,834,4,system_server,
168,3703,251,4,/system/bin/surfaceflinger,
168,3703,2968,4,[tx_thread],
169,3713,7295,1.1,/sbin/adbd,--root_seclabel=u:r:su:s0,
169,3713,3345,1.1,logcat,-v time,
169,3713,7158,1.1,[kworker/u16:7],
169,3713,21357,1.1,[kworker/1:3],
171,3733,21296,8.3,com.mediatek.ppl,om.mediatek.ppl
171,3733,22471,8.3,com.android.gallery3d,droid.gallery3d
171,3733,23248,8.3,com.android.deskclock,droid.deskclock
171,3733,21250,4.1,com.android.contacts,ndroid.contacts
171,3733,22449,4.1,com.mediatek.providers.drm,k.providers.drm
171,3733,2969,4.1,[hif_thread],
173,3753,21250,16.6,com.android.contacts,ndroid.contacts
173,3753,21296,8.3,com.mediatek.ppl,om.mediatek.ppl
173,3753,22449,8.3,com.mediatek.providers.drm,k.providers.drm
173,3753,22471,8.3,com.android.gallery3d,droid.gallery3d
173,3753,23248,8.3,com.android.deskclock,droid.deskclock
174,3763,2976,9.4,com.android.launcher3,droid.launcher3
174,3763,251,3.7,/system/bin/surfaceflinger,
174,3763,23166,1.8,[kworker/u16:3],
175,3773,22471,6,com.android.gallery3d,droid.gallery3d
175,3773,7295,6,/sbin/adbd,--root_seclabel=u:r:su:s0,
175,3773,29445,6,logcat,-v time,
175,3773,834,3,system_server,
175,3773,2975,3,/system/bin/wpa_supplicant,-iwlan0 -Dnl80211 -c/data/misc/wifi/wpa_supplicant.conf -I/system/etc/wifi/wpa_supplicant_overlay.conf -N -ip2p0 -Dnl80211 -c/data/misc/wifi/p2p_supplicant.conf -e/data/misc/wifi/entropy.bin -ddd -I/system/etc/wifi/p2p_supplicant_overlay.conf -O/data/misc/wifi/sockets -g@android:wpa_wlan0,
175,3773,2969,3,[hif_thread],
175,3773,2968,3,[tx_thread],
175,3773,21357,3,[kworker/1:3],
176,3783,834,1.7,system_server,
176,3783,2976,1.7,com.android.launcher3,droid.launcher3
176,3783,7295,1.7,/sbin/adbd,--root_seclabel=u:r:su:s0,
176,3783,30912,1.7,[kworker/u16:8],
177,3793,834,46.4,system_server,
177,3793,2969,4.2,[hif_thread],
177,3793,813,4.2,[ksdioirqd/mmc1],
179,3813,2681,9.6,com.android.settings,ndroid.settings
179,3813,834,4.2,system_server,
179,3813,7295,4.2,/sbin/adbd,--root_seclabel=u:r:su:s0,
179,3813,251,3.2,/system/bin/surfaceflinger,
179,3813,6836,2.1,logcat,-v time,
179,3813,15409,1,com.android.browser,android.browser
179,3813,2634,1,com.android.phone,m.android.phone
179,3813,2976,1,com.android.launcher3,droid.launcher3
179,3813,127,1,[present_fence_w],
179,3813,30912,1,[kworker/u16:8],
179,3813,5177,1,[kworker/2:2],
180,3823,834,4.2,system_server,
180,3823,263,4.2,/system/bin/netd,
180,3823,7295,4.2,/sbin/adbd,--root_seclabel=u:r:su:s0,
180,3823,6836,4.2,logcat,-v time,
180,3823,186,4.2,/sbin/ueventd,
